Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
5197,Uttar Pradesh_9,Jhansi_153,Babina_1244,Babina (Rural)_70650,Babina,Babina,Dug Well,SGWD,400101,25.23303,78.45175,30.6,Unconfined Aquifer,14.39,11.55,NA,7.02,5.01,4.45,11.95,7.28,5.13,1.93,4.73,4.73,11.9,7.65,7.48,2.93
5198,Uttar Pradesh_9,Jhansi_153,Babina_1244,Babina (Rural)_70650,Babina     Ii,Babina     Ii,Piezometer,SGWD,400102,25.25392,78.46054,30.64,Unconfined Aquifer,5.87,4.28,4.86,2.83,11.63,11.16,4.52,2.16,7.5,6.43,11.01,8.57,5.23,2.71,11.54,6.75
5199,Uttar Pradesh_9,Jhansi_153,Babina_1244,Babina (Rural)_70650,Babina Rular,Babina Rular,Piezometer,Atal Jal,400105,25.23668,78.48107,42.08,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,3.24
5200,Uttar Pradesh_9,Jhansi_153,Babina_1244,Baghaura_70652,Baghura,Baghura,Piezometer,Atal Jal,400104,25.16264,78.47427,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,3.83
5201,Uttar Pradesh_9,Jhansi_153,Babina_1244,Bamair_264898,Bamer,Bamer,Piezometer,Atal Jal,400102,25.43376,78.41873,45.13,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,4.41
5202,Uttar Pradesh_9,Jhansi_153,Babina_1244,Dagarwaha_70662,Dangagrwa,Dangagrwa,Piezometer,SGWD,400114,25.46142,78.43137,29,Unconfined Aquifer,8.6,8.4,12.45,6.2,8.1,8,7.3,2.8,NA,NA,5.75,3.25,6.35,1.35,6.52,1.95
5203,Uttar Pradesh_9,Jhansi_153,Babina_1244,Dagarwaha_70662,Khailar,Khailar,Dug Well,SGWD,400116,25.47194,78.42139,11.82,Unconfined Aquifer,5.76,5.02,5.98,6.75,9.37,9.05,7.73,4.95,7.46,3.38,7.86,5.78,8.38,5.16,5.27,3.33
5204,Uttar Pradesh_9,Jhansi_153,Babina_1244,Dhikoli_70663,Dhikauli,Dhikauli,Piezometer,Atal Jal,400101,25.4936,78.45125,35.98,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,3.45
5205,Uttar Pradesh_9,Jhansi_153,Babina_1244,Guaoli_70666,Gwabali / Chaupura,Gwabali/Chaupura,Piezometer,Atal Jal,400103,25.17054,78.43797,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,4.39
5206,Uttar Pradesh_9,Jhansi_153,Babina_1244,Khari_264884,Khadi / Kauni Khadi,Khadi/KauniKhadi,Piezometer,Atal Jal,400142,25.19198,78.4336,46.65,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,4.12
5207,Uttar Pradesh_9,Jhansi_153,Babina_1244,Mankuwa_70675,Mankuwa Ii  P,Mankuwa Ii  P,Piezometer,SGWD,400120,25.20766,78.45233,26.28,Unconfined Aquifer,6.21,5.57,6.04,4.07,14.11,13.6,14.55,7.95,NA,NA,14.71,NA,NA,4.9,7.9,7.35
5208,Uttar Pradesh_9,Jhansi_153,Babina_1244,Prithvipur Naya Khera_70682,Nayakhera  P,Nayakhera  P,Piezometer,SGWD,400121,25.19121,78.48742,37,Unconfined Aquifer,13.81,NA,13.7,12.07,18.57,18.27,19.2,5.52,17.41,4.8,16.05,8.9,NA,1.54,Damage,Damage
5209,Uttar Pradesh_9,Jhansi_153,Babina_1244,Prithvipur Naya Khera_70682,Perthivipur Nayakheda,Perthivipur Nayakh,Piezometer,Atal Jal,400141,25.20466,78.49704,46.65,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,11.2
5210,Uttar Pradesh_9,Jhansi_153,Babina_1244,Punawali Kalan_70683,Punawallikalan  P,Punawallikalan  P,Piezometer,SGWD,400122,25.50091,78.46979,29.45,Unconfined Aquifer,14.54,15.9,19.37,9.71,13.65,13.43,13.75,3.75,12,2.8,9.35,5.05,9.1,4.43,9.37,1.95
5211,Uttar Pradesh_9,Jhansi_153,Babina_1244,Sukwan_264883,Sukwan,Sukwan,Piezometer,Atal Jal,400106,25.21438,78.53791,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,10.29
5212,Uttar Pradesh_9,Jhansi_153,Babina_1244,NA,Baindaura,Baindaura,Piezometer,SGWD,400107,25.33583,78.40167,18.55,Unconfined Aquifer,8.07,7.1,12.7,6.46,8.98,8.51,12.71,3.25,6.23,2.79,7.22,4.05,10.53,3.71,10.4,2.45
5213,Uttar Pradesh_9,Jhansi_153,Babina_1244,NA,Rajapur,Rajapur,Piezometer,SGWD,400123,25.42691,78.38719,12.7,Unconfined Aquifer,8.91,NA,10.38,4.59,10.47,9.98,10.69,1.8,7.74,0.22,8.17,2.17,NA,1.52,9.82,1.15
5214,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Jalalpura,Lakhesawar  P,Piezometer,SGWD,400720,25.27931,79.12117,22,Unconfined Aquifer,8.11,8.02,10.12,7.03,10.24,11.15,13.19,8.95,NA,NA,NA,NA,NA,NA,Damage,Damage
5215,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Mauranipur,Mauranipur Rajpaharia,Dug Well,CGWB,W251530079090002,25.25833,79.15,15.1,Unconfined Aquifer,NA,8.91,10.34,NA,7.98,9.87,11.2,7.64,9.33,3.57,NA,5.66,7.87,8.75,5.12,3.67
5216,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Rewan,Rewan,Dug Well,CGWB,W252348079094801,25.39667,79.16333,12.47,Unconfined Aquifer,8.45,7.75,NA,7.93,9.63,10.26,NA,7.29,9.01,7.2,NA,NA,9.57,5.25,8.3,5.73
5217,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Roni  P,Roni  P,Piezometer,SGWD,400724,25.38611,79.13389,30,Unconfined Aquifer,4.97,6.65,NA,6.22,8.72,6.92,8.24,NA,11.28,3.75,6.1,2.44,7.65,NA,Damage,Damage
5218,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Roopadhamna  P,Roopadhamna  P,Piezometer,SGWD,400723,25.20222,79.15444,14.5,Unconfined Aquifer,5.26,6.75,11,3.17,6.36,6.44,9.37,5.51,7.84,4.75,3.72,2.85,5.78,1.7,5.75,1.55
5219,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Mauranipur   P,Mauranipur W,Dug Well,SGWD,400722,25.24722,79.1425,16.82,Unconfined Aquifer,12.14,15.14,NA,NA,NA,NA,NA,NA,NA,NA,15.49,13.24,15.61,12.99,15.79,13.54
5220,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Kuagaon,Kuagaon,Dug Well,CGWB,W251149079063201,25.19694,79.10889,13.5,Unconfined Aquifer,8.35,NA,NA,NA,13.15,13.15,NA,11.6,NA,11.01,NA,12.8,NA,9.95,10.4,6.51
5221,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Bamhauri_70967,Bamhori    P,Bamhori P,Piezometer,SGWD,400702,25.32806,79.22278,18.15,Unconfined Aquifer,NA,NA,NA,NA,9.84,1.57,12.15,8.93,NA,NA,8.47,6.5,10.62,5.74,9.28,4.05
5222,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Baraura_265707,Baraura,Baraura,Piezometer,Atal Jal,400726,25.37199,79.2822,32.93,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,13.15
5223,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Bhadarwara_70972,Bhadarwara  P,Bhadarwara P,Piezometer,SGWD,400704,25.23346,79.20713,26.82,Unconfined Aquifer,13.5,NA,NA,NA,11.18,12.24,15.61,NA,15.8,6,8.97,7.2,13.07,8.15,12.6,7
5224,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Bukhara_70977,Bukhara,Bukara,Piezometer,Atal Jal,400701,25.26081,79.18139,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,8.9
5225,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Chakara_70978,Chakara  P,Chakara P,Piezometer,SGWD,400707,25.31078,79.2443,31.89,Unconfined Aquifer,NA,NA,NA,NA,NA,16.34,NA,8.25,14.42,NA,14.48,7.55,15.37,5.51,11.9,5.55
5226,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Khandarka_70997,Khadaraka,Khadaraka,Piezometer,Atal Jal,400704,25.37332,79.21175,18.58,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,1.8
5227,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Larauni_265708,Larauni,Larauni,Piezometer,Atal Jal,400732,25.35012,79.22304,23.79,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,4.85
5228,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Madwan_71002,Madawa,Madawa,Piezometer,Atal Jal,400710,25.34134,79.1994,17.69,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.73,3.3
5229,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Naya Gaon_71007,Naya Gaon,Naya Gaon,Piezometer,Atal Jal,400708,25.25859,79.25362,14.64,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.35,4.15
5230,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Rora_71011,Rora,Rora,Piezometer,Atal Jal,400703,25.29412,79.21271,20.74,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49,7.95
5231,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Sataura_265709,Sitaora,Sitaora,Piezometer,Atal Jal,400709,25.271,79.20929,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48,4.15
5232,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Sijari Khurd_71015,Sijari Khurd,Sijari Khurd,Piezometer,Atal Jal,400706,25.36476,79.25758,35.97,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,8.35
5233,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,Tilera_71018,Tileera,Tileera,Piezometer,Atal Jal,400705,25.32541,79.18593,22.27,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,3.74
5234,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Bhandara,Bhandara,Dug Well,SGWD,400705,25.207,79.245,12.4,Unconfined Aquifer,NA,6.75,7.75,6.64,9.32,10.05,11.42,NA,10.8,7.86,8.38,7.1,10.1,7.72,9.4,6.7
5235,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Ghat Kotara,Ghat Kotara,Piezometer,Atal Jal,400707,25.19304,79.25911,18.58,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,3.85
5236,Uttar Pradesh_9,Jhansi_153,Mauranipur_1250,NA,Lahchura  P,Lahchura P,Piezometer,SGWD,400719,25.20917,79.09667,28.96,Unconfined Aquifer,NA,NA,NA,NA,9.49,NA,11.57,11.8,11.8,NA,11.5,9.5,12.08,9.42,12.6,7.15
5237,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Bijrohta,Bijrohta,Piezometer,SGWD,480624,24.92944,78.37694,30,Unconfined Aquifer,5.8,6.27,7.77,4.97,7.85,4.84,6.59,4.15,NA,NA,5.65,3.7,6.4,3.15,5.7,3.85
5238,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Hisar Kalan,Hisar Kalan,Dug Well,CGWB,W250415078335101,25.07083,78.56417,9.16,Unconfined Aquifer,6.67,5.92,7.22,5.74,6.46,6.24,7.12,6.52,6.34,7,NA,5.03,6.2,6.22,6.03,6.47
5239,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Rampur  P,Rampur  P,Piezometer,SGWD,480616,24.97389,78.36167,29,Unconfined Aquifer,2.95,3.68,5.35,3.6,4.19,3.34,3.36,3.16,NA,NA,3.25,3.15,4.95,1.65,4.85,1.85
5240,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Talbhet,Talbhet-New,Dug Well,CGWB,W250200078255402,25.03333,78.43167,5,Unconfined Aquifer,1.75,1.9,2.61,1.93,3.35,2.88,3.1,2.36,2.4,1.8,NA,1.4,2.32,1.45,3.6,1.32
5241,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Baghora  P,Baghora  P,Piezometer,SGWD,480603,24.98694,78.62722,32.5,Unconfined Aquifer,8.77,5.09,10.99,8.4,6.45,5.57,5.99,NA,4.22,NA,11.75,4.1,11.7,4.55,8.2,6.15
5242,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Gulanda   P,Gulanda   P,Piezometer,SGWD,480609,24.99611,78.37389,30,Unconfined Aquifer,9.44,8.63,NA,NA,11.98,6.83,10.27,4.89,10.55,3.95,8.22,3.2,7.86,3.7,7.15,2.8
5243,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Khandi,Khandi,Piezometer,SGWD,480612,25.06556,78.45306,30,Unconfined Aquifer,4.93,4.2,8.64,5.33,7.19,8.2,8.76,1.96,4.53,NA,4.85,5.75,7.35,3.05,5.36,3.65
5244,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Sanori (New),Sanori (New),Piezometer,SGWD,480626,25.04535,78.50911,30,Unconfined Aquifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53,3.85,6.32,4
5245,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Rara P,Rara P,Piezometer,SGWD,480618,25.05361,78.48806,36.6,Unconfined Aquifer,5.65,6.3,6.89,4.77,NA,NA,NA,NA,6.28,6.2,6.2,5.3,6.03,5.95,6.35,6
5246,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Badiwar,Badiwar,Piezometer,SGWD,480601,24.96972,78.38417,10,Unconfined Aquifer,NA,NA,9.85,6.3,NA,NA,NA,NA,8.45,4.85,NA,NA,8.24,4.32,7.25,4.5
5247,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Kakrari P,Kakrari P,Piezometer,SGWD,480611,24.97376,78.33806,31.2,Unconfined Aquifer,8.65,6.52,1.72,7.72,NA,NA,6.5,NA,NA,NA,5.33,3.35,6.85,3.15,5.9,3.87
5248,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Matera (New),Matera (New),Piezometer,SGWD,480625,25.009,78.393,29,Unconfined Aquifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.07,7.95,21.35,13.76
5249,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Talbehat 2Pz,Talbehat,Piezometer,SGWD,480623,25.04667,78.44306,27.85,Unconfined Aquifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,7.12,6.13,7.32,5.76
5250,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Asau Pura_75306,Aasao Pura,Aasao Pura,Piezometer,Atal Jal,480640,24.89788,78.47971,32.93,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,4.68
5251,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Birdha_75315,Birdha /Poorabirdha,Birdha /Poorabirdha,Piezometer,Atal Jal,480642,25.1202,78.56495,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.4
5252,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Dhangaul_75320,Dhangol,Dhangol,Piezometer,SGWD,480606,25.11214,78.49236,29.1,Unconfined Aquifer,9.9,7.72,1.77,7.8,9.13,8.6,NA,NA,NA,NA,NA,4.77,9.22,4.22,7.95,3.79
5253,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Gevragundera_75321,Gloragundera/Gewara,Gloragundera/Gewara,Piezometer,Atal Jal,480633,25.15888,78.51844,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,5.23
5254,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Jamalpur_75324,Jamalpur,Jamalpur,Piezometer,Atal Jal,480638,24.92512,78.48457,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,3.85
5255,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Jhawar_75325,Jawar /Jhabar,Jawar /Jhabar,Piezometer,Atal Jal,480635,25.14884,78.56618,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11.05
5256,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Kandhari Kalan_75329,Kandhari Kala,Kandhari Kala,Piezometer,Atal Jal,480634,25.18166,78.56607,24.31,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,14.55
5257,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Kandhari Khurd_271369,Kandhari Khurd,Kandhari Khurd,Piezometer,Atal Jal,480637,25.11125,78.57826,13.11,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,5.76
5258,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Natthi Khera_75335,Nathi Khera  P,Nathi Khera  P,Piezometer,SGWD,480614,25.09194,78.59194,31,Unconfined Aquifer,8.46,7.95,8.77,7.21,8.91,7.59,8.6,6.18,NA,NA,8.78,7.19,NA,NA,7.94,4.87
5259,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Rampura Kathwar_75342,Rampura Kathwar  P,Rampura Kathwar  P,Piezometer,SGWD,480617,24.95,78.63694,30,Unconfined Aquifer,9.3,10.73,14.7,7.4,12.32,11.23,11.32,8.23,NA,NA,NA,NA,NA,NA,Damage,4
5260,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Tenta_271389,Teta,Teta,Piezometer,Atal Jal,480639,24.90651,78.48834,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.04
5261,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Thana_75349,Thana/ Tapariyan,Thana/ Tapariyan,Piezometer,Atal Jal,480641,25.09685,78.39596,45.13,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.58
5262,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Varma Bihar_75310,Barma Bihar,Barma Bihar,Piezometer,Atal Jal,480631,25.13272,78.48926,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,4.19
5263,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,Varma Bihar_75310,Jharar,Jharar,Piezometer,Atal Jal,480632,25.12981,78.49342,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,2.91
5264,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Bhasanwara  P,Bhasanwara  P,Piezometer,SGWD,480604,24.92944,78.37694,32,Unconfined Aquifer,10.04,8.05,11.1,5.8,12.25,10.61,12.51,7.65,11.7,4.8,10.75,9.4,11.8,7.2,10.15,7.9
5265,Uttar Pradesh_9,Lalitpur_161,Talbehat_1328,NA,Munaera  P,Munaera  P,Piezometer,SGWD,480613,25.042,78.508,49,Unconfined Aquifer,7,7.27,8.87,5.9,7.96,6.79,8.66,NA,NA,1.75,7.55,6.05,9.18,4.05,7.2,3
5266,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Charkhari,Charkhari,Dug Well,CGWB,W252400079450001,25.4,79.75,12.5,Unconfined Aquifer,4.2,5.36,6.3,1.3,3.84,3.68,6.89,3.3,6.46,2.07,3.5,2.78,6.75,2.33,3.36,1.59
5267,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Natarra,Kamal Kheda,Piezometer,SGWD,510405,25.44833,79.79222,12,Unconfined Aquifer,4.6,4.6,7.75,2.25,3.35,1.75,3.4,3.75,NA,NA,4.65,3.15,10.59,9.45,Dry,Dry
5268,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Pahretha,Rivai,Dug Well,SGWD,510412,25.525,79.875,9.7,Unconfined Aquifer,5.35,5.95,8.25,3.4,6.15,5.45,9,8.85,NA,NA,7.36,7.95,9.3,9.8,6.25,8.65
5269,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Aaichana,Aaichana,Piezometer,SGWD,510418,25.54167,79.91667,14.9,Unconfined Aquifer,4.4,4.75,7.75,3,1.95,1.3,1.35,2.6,4.5,1.2,1.26,1.9,2.9,3.95,1.95,1.5
5270,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Kundar,Kundar,Piezometer,SGWD,510408,25.45528,79.76139,26.7,Unconfined Aquifer,5.35,4.4,6.8,3.1,0.3,1.7,NA,4.65,6.9,2.45,3.5,3.6,4.61,5.05,Dry,Damage
5271,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Charkhari,Bdo Office Charkhari (DWLR),Piezometer,SGWD,510422,25.39274,79.74753,15.2,Unconfined Aquifer,4.72,4.35,7,3.8,3.9,4.1,5.25,4.15,5.75,3.64,4.4,3.35,4.14,1.36,2.86,0.55
5272,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,NA,Old Iti College,Old Iti College (DWLR),Piezometer,SGWD,510423,25.40957,79.7412,18.2,Unconfined Aquifer,4.45,4.87,7.15,2.1,4.65,3.85,6.05,3.65,5.65,2.19,4.14,2.38,4.41,1.54,3.65,6.48
5273,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Akathauha_77054,Akthoaha,Akthoaha,Piezometer,Atal Jal,510438,25.39711,79.68512,49.7,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,2.7
5274,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Anghaura_77055,Andhaora,Andhaora,Piezometer,Atal Jal,510432,25.49777,79.66826,34.46,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,8.25
5275,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Asthaun_77056,Asthain,Asthain,Piezometer,Atal Jal,510439,25.39416,79.71959,11.59,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,1.37
5276,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Ballayn_77059,Ballay,Ballay,Piezometer,Atal Jal,510433,25.53143,79.67149,23.79,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.86,7.48
5277,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,BaPre-monsoontha_77063,Baparetha,Baparetha,Piezometer,Atal Jal,510430,25.47053,79.62875,42.08,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,19.3
5278,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Bhatewara Kalan_77068,Bhatewra Kalan,Bhatewra Kalan,Piezometer,Atal Jal,510435,25.43872,79.5705,40.56,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,8.8
5279,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Gaurahari_77073,Gaurahari,Gaurahari,Piezometer,Atal Jal,510429,25.45283,79.6245,42.08,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.95,8.9
5280,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Gorkha_77074,Gorkha,Gorkha,Piezometer,Atal Jal,510436,25.38619,79.6406,32.94,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,3.3
5281,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Gudha_77075,Gaudaha,Gaudaha,Piezometer,Atal Jal,510434,25.46843,79.67915,42.08,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.5
5282,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Jarauli_77077,Jarauli,Jataura,Piezometer,SGWD,510404,25.50056,79.69361,10,Unconfined Aquifer,7.43,6.5,8.7,4.4,5.85,5.85,6.15,6.05,NA,NA,NA,NA,6.22,3.75,4.7,1.93
5283,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Karahara Khurd_77080,Karahara Khurd,Karahara Khurd,Piezometer,Atal Jal,510431,25.4755,79.59499,45.13,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,10.17
5284,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Luhari_77085,Luhari,Luhari,Piezometer,Atal Jal,510437,25.41155,79.6629,25.31,Unconfined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.3
5285,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Supa_77097,Supa,Santosh Pura,Piezometer,SGWD,510420,25.35222,79.74722,15,Unconfined Aquifer,6,6,8.1,6,2.05,2.7,3.95,4,NA,NA,6.51,7.8,8.84,11.2,12.2,7.85
5286,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Supa_77097,Supa,Supa,Dug Well,SGWD,510415,25.32389,79.75,14.4,Unconfined Aquifer,10.15,10.9,12.3,9.43,11.5,9.9,12.6,11.04,NA,NA,12.43,13.1,11.8,NA,Dry,Dry
5287,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Supa_77097,Supa,Supa,Piezometer,SGWD,510421,25.32744,79.7664,27.3,Unconfined Aquifer,9.4,8.95,10.15,6.89,9.57,6.85,10.6,11.07,NA,NA,10.5,9.15,11.32,10.3,11.9,5.12
5288,Uttar Pradesh_9,Mahoba_165,Charkhari_1356,Supa_77097,Supa,Tikari,Piezometer,SGWD,510416,25.31972,79.74528,9,Unconfined Aquifer,6.9,5,7.1,6.1,4.9,4.6,6.6,5.3,NA,NA,4.65,5.5,NA,NA,Dry,Dry
